Prahran	PRAH	-37.85	145	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	281789
Preston	PRES	-37.75	145.017	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	420523
Red Cliffs	RCLI	-34.317	142.183	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	489901
Sale	SALE	-38.1	147.067	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	625547
Shepparton	SHEP	-36.383	145.4	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	765318
Sorrento	SORR	-38.317	144.733	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	489900
South Yarra	SYAR	-37.833	144.983	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	625544
Sunbury	SUNB	-37.583	144.733	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	979605
Sunshine	SUNS	-37.783	144.833	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	140986
Swan Hill	SHIL	-35.35	143.567	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	903066
Traralgon	TRAR	-38.183	146.533	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	625656
Wangaratta	WANG	-36.367	146.333	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	903138
Warrnambool	WARR	-38.383	142.483	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	489949
Wilsons Promontory	WPRO	-38.65	146.183	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	765424
Wodonga	WODO	-36.117	146.883	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	840931
Burnie	BURN	-41.067	145.917	Australia	AU	Tasmania	TS	Australia/Hobart	+10:00	+11:00	704246
Campbell Town	CTOW	-41.917	147.5	Australia	AU	Tasmania	TS	Australia/Hobart	+10:00	+11:00	281820
Claremont	CLAR	-42.783	147.25	Australia	AU	Tasmania	TS	Australia/Hobart	+10:00	+11:00	563443
Devonport	DEVO	-41.167	146.35	Australia	AU	Tasmania	TS	Australia/Hobart	+10:00	+11:00	281797
George Town	GTOW	-41.1	146.833	Australia	AU	Tasmania	TS	Australia/Hobart	+10:00	+11:00	625647
Glenorchy	GLEN	-42.833	147.283	Australia	AU	Tasmania	TS	Australia/Hobart	+10:00	+11:00	489929
Hobart	HOBA	-42.917	147.333	Australia	AU	Tasmania	TS	Australia/Hobart	+10:00	+11:00	281804
Launceston	LAUN	-41.45	147.167	Australia	AU	Tasmania	TS	Australia/Hobart	+10:00	+11:00	210397
Penguin	PENG	-41.117	146.067	Australia	AU	Tasmania	TS	Australia/Hobart	+10:00	+11:00	420548
Strahan	STRA	-42.15	145.333	Australia	AU	Tasmania	TS	Australia/Hobart	+10:00	+11:00	210404
