AITKENVALE	-19.2953	146.767	AITK	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	625606
Albany Creek	-27.3455	152.968	ACRE	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	765385
Alderley	-27.4244	153.001	ALDE	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	210426
Aldershot	-25.4666	152.657	ALDR	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	625605
Aldoga	-23.8353	151.071	ALDO	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	420614
Alexandra	-21.1645	149.1	ALEX	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	141086
Alexandra Headland	-26.6706	153.108	AHEA	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	764971
Alexandra Hills	-27.5228	153.22	AHIL	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	420615
Algester	-27.6113	153.034	ALGE	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	281865
Alice Creek	-26.76	151.632	ACRK	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	351759
Allan	-28.1956	151.95	ALLA	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	625189
Allenstown	-23.3889	150.503	ALLE	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	141079
Alligator Creek	-21.3239	149.211	ACRZ	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	764963
Allora	-28.0358	151.983	ALLO	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	902709
Alloway	-24.9524	152.362	ALLW	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	841011
ALMADEN	-17.3409	144.676	ALMA	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	563504
ALOOMBA	-17.1279	145.824	ALOO	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	902703
Alpha	-23.6497	146.641	ALPH	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	979744
Amamoor	-26.3452	152.675	AMAM	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	841007
Amamoor Creek	-26.3595	152.563	ACRY	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	902694
AMBER	-17.7189	144.316	AMBR	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	979756
Amberley	-27.6404	152.702	AMBE	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	902692
Amby	-26.5492	148.187	AMBY	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	209926
Amiens	-28.5836	151.801	AMIE	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	704307
Amity	-27.3979	153.439	AMIT	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	489507
Amity Point	-27.3965	153.44	APOI	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	704271
Andergrove	-21.0969	149.185	ANDE	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	902684
Anderleigh	-25.9984	152.674	ANDR	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	840985
Anduramba	-27.1346	152.086	ANDU	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	979733
ANNANDALE	-19.3096	146.787	ANNA	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	420647
Annerley	-27.5116	153.032	ANNE	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	281900
Anstead	-27.5456	152.872	ANST	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	902680
Anthony	-27.8782	152.684	ANTH	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	351785
Antigua	-25.6382	152.603	ANTI	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	489513
Apple Tree Creek	-25.2152	152.234	ATCR	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	563468
Applethorpe	-28.6139	151.955	APPL	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	764952
Araluen	-26.1595	152.668	ARAL	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	489525
Aramac	-22.9722	145.245	ARAM	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	764958
Aramara	-25.6113	152.326	ARAA	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	489529
Arana Hills	-27.3975	152.96	AHIS	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	840965
Aratula	-27.9815	152.549	ARAT	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	625249
ARBOUIN	-17.1875	144.132	ARBO	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	841083
ARCHER RIVER	-13.0345	142.523	ARIV	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	141149
Archerfield	-27.5684	153.024	ARCH	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	625253
Armstrong Beach	-21.4549	149.29	ABEC	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	210007
Armstrong Creek	-27.2256	152.798	ACRX	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	281924
ARRIGA	-17.1157	145.283	ARRI	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	210006
Arundel	-27.9397	153.373	ARUN	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	563567
Ascot	-27.4303	153.059	ASCO	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	841068
Ashgrove	-27.4456	152.992	ASHG	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	209998
Ashgrove West	-27.4493	152.979	AWES	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	489555
Ashmore	-27.9864	153.382	ASHM	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	141122
Ashmore City	-27.9774	153.381	ACIT	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	625275
Ashwell	-27.6285	152.56	ASHW	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	979816
Aspley	-27.3639	153.016	ASPL	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	765046
ATHERTON	-17.2683	145.475	ATHE	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	979818
Athol	-27.6154	151.775	ATHO	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	704370
Atkinsons Dam	-27.421	152.456	ADAM	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	209985
Aubigny	-27.5222	151.642	AUBI	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	563526
Auchenflower	-27.4755	152.993	AUCH	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	704330
Augathella	-25.7947	146.587	AUGA	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	489575
Augustine Heights	-27.6691	152.894	AHEI	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	210043
AURUKUN	-13.3559	141.727	AURU	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	765000
Austinville	-28.1358	153.317	AUST	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	704323
Avenell Heights	-24.8905	152.374	AHEG	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	625229
Avoca	-24.8818	152.313	AVOC	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	420721
Avoca Vale	-26.7558	152.236	AVAL	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	420720
Avondale	-24.7414	152.161	AVON	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	902729
Ayr	-19.5761	147.405	AYR	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	489587
BABINDA	-17.3449	145.925	BABI	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	141165
Back Plains	-27.8944	151.8	BPLA	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	563537
BADU ISLAND	-10.1201	142.139	BISA	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	902735
Baffle West	-25.7245	148.672	BWES	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	281974
Bahrs Scrub	-27.7391	153.167	BSCR	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	281985
Bakers Bend	-26.6472	146.177	BBEN	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	420749
Bakers Creek	-21.219	149.147	BCRE	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	765088
Baking Board	-26.7068	150.545	BBOA	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	210068
Balberra	-21.3064	149.12	BALB	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	351873
Bald Hills	-27.3062	153.013	BHIL	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	979894
